state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
NSW,Berkeley Vale North,551,829,1380,16,1396,0.3993,0.6007,0.9885,0.0115
NSW,Berkeley West,741,1137,1878,14,1892,0.3946,0.6054,0.9926,0.0074
NSW,Berkshire Park,95,190,285,4,289,0.3333,0.6667,0.9862,0.0138
NSW,Bermagui,640,663,1303,11,1314,0.4912,0.5088,0.9916,0.0084
NSW,Berowra,1655,1650,3305,26,3331,0.5008,0.4992,0.9922,0.0078
NSW,Berowra North,866,878,1744,9,1753,0.4966,0.5034,0.9949,0.0051
NSW,Berowra Waters,35,53,88,0,88,0.3977,0.6023,1.0,0.0
NSW,Berridale,272,371,643,4,647,0.423,0.577,0.9938,0.0062
NSW,Berrigan,213,711,924,5,929,0.2305,0.7695,0.9946,0.0054
NSW,Berrima,177,242,419,0,419,0.4224,0.5776,1.0,0.0
NSW,Berry,925,979,1904,15,1919,0.4858,0.5142,0.9922,0.0078
NSW,Bethungra,27,73,100,0,100,0.27,0.73,1.0,0.0
NSW,Beverly Hills,558,634,1192,9,1201,0.4681,0.5319,0.9925,0.0075
NSW,Beverly Hills South,632,558,1190,12,1202,0.5311,0.4689,0.99,0.01
NSW,Bexhill,206,271,477,1,478,0.4319,0.5681,0.9979,0.0021
NSW,Bexley,1332,1198,2530,48,2578,0.5265,0.4735,0.9814,0.0186
NSW,Bexley Central,462,398,860,13,873,0.5372,0.4628,0.9851,0.0149
NSW,Bexley East,216,126,342,4,346,0.6316,0.3684,0.9884,0.0116
NSW,Bexley North,631,506,1137,16,1153,0.555,0.445,0.9861,0.0139
NSW,Bexley West,1031,1097,2128,29,2157,0.4845,0.5155,0.9866,0.0134
NSW,Bibbenluke,45,94,139,1,140,0.3237,0.6763,0.9929,0.0071
NSW,Bidwill,794,1347,2141,39,2180,0.3709,0.6291,0.9821,0.0179
NSW,Bigga,53,130,183,2,185,0.2896,0.7104,0.9892,0.0108
NSW,Bilambil,621,757,1378,6,1384,0.4507,0.5493,0.9957,0.0043
NSW,Bilbul,36,92,128,5,133,0.2812,0.7188,0.9624,0.0376
NSW,Bilgola Plateau,1132,884,2016,11,2027,0.5615,0.4385,0.9946,0.0054
NSW,Billimari,48,131,179,0,179,0.2682,0.7318,1.0,0.0
NSW,Billinudgel,234,280,514,4,518,0.4553,0.5447,0.9923,0.0077
NSW,Bimbimbie,109,205,314,4,318,0.3471,0.6529,0.9874,0.0126
NSW,Binalong,107,191,298,4,302,0.3591,0.6409,0.9868,0.0132
NSW,Binda,46,129,175,0,175,0.2629,0.7371,1.0,0.0
NSW,Bingara,285,878,1163,7,1170,0.2451,0.7549,0.994,0.006
NSW,Binnaway,139,314,453,4,457,0.3068,0.6932,0.9912,0.0088
NSW,Binya,20,66,86,0,86,0.2326,0.7674,1.0,0.0
NSW,Birchgrove,1539,442,1981,12,1993,0.7769,0.2231,0.994,0.006
NSW,Birmingham Gardens,351,464,815,6,821,0.4307,0.5693,0.9927,0.0073
NSW,Birmingham Gardens North,419,609,1028,9,1037,0.4076,0.5924,0.9913,0.0087
NSW,Birrong,1425,1425,2850,48,2898,0.5,0.5,0.9834,0.0166
NSW,Black Hill,96,151,247,3,250,0.3887,0.6113,0.988,0.012
NSW,Black Mountain,53,70,123,0,123,0.4309,0.5691,1.0,0.0
NSW,Black Springs,78,162,240,0,240,0.325,0.675,1.0,0.0
NSW,Blackalls,650,856,1506,16,1522,0.4316,0.5684,0.9895,0.0105
NSW,Blackbutt,943,950,1893,13,1906,0.4982,0.5018,0.9932,0.0068
NSW,Blackett,770,1200,1970,27,1997,0.3909,0.6091,0.9865,0.0135
NSW,Blackfriars,268,73,341,5,346,0.7859,0.2141,0.9855,0.0145
NSW,Blackheath,1116,1205,2321,22,2343,0.4808,0.5192,0.9906,0.0094
NSW,Blacksmiths,495,534,1029,9,1038,0.481,0.519,0.9913,0.0087
NSW,Blacktown City,627,553,1180,14,1194,0.5314,0.4686,0.9883,0.0117
NSW,Blacktown East,1304,1522,2826,29,2855,0.4614,0.5386,0.9898,0.0102
NSW,Blacktown Hospital,186,188,374,11,385,0.4973,0.5027,0.9714,0.0286
NSW,Blacktown North,616,867,1483,13,1496,0.4154,0.5846,0.9913,0.0087
NSW,Blacktown South,1050,1300,2350,29,2379,0.4468,0.5532,0.9878,0.0122
NSW,Blacktown West,1712,2181,3893,57,3950,0.4398,0.5602,0.9856,0.0144
NSW,Blackville,20,18,38,1,39,0.5263,0.4737,0.9744,0.0256
NSW,Blackwell,1043,1448,2491,28,2519,0.4187,0.5813,0.9889,0.0111
NSW,Blairmount,350,517,867,11,878,0.4037,0.5963,0.9875,0.0125
NSW,Blakehurst,425,453,878,8,886,0.4841,0.5159,0.991,0.009
NSW,Blandford,52,130,182,0,182,0.2857,0.7143,1.0,0.0
NSW,Blaxcell,2189,2849,5038,95,5133,0.4345,0.5655,0.9815,0.0185
NSW,Blaxland,876,750,1626,9,1635,0.5387,0.4613,0.9945,0.0055
NSW,Blaxland East,1583,1429,3012,10,3022,0.5256,0.4744,0.9967,0.0033
NSW,Blayney,555,1205,1760,16,1776,0.3153,0.6847,0.991,0.009
NSW,Bletchington,968,1772,2740,24,2764,0.3533,0.6467,0.9913,0.0087
NSW,Bligh Park,1185,1910,3095,30,3125,0.3829,0.6171,0.9904,0.0096
NSW,Bligh Park East,339,545,884,8,892,0.3835,0.6165,0.991,0.009
NSW,Blighty,34,120,154,2,156,0.2208,0.7792,0.9872,0.0128
NSW,Bloomfield Hospital,45,90,135,0,135,0.3333,0.6667,1.0,0.0
NSW,Blue Haven,637,1066,1703,10,1713,0.374,0.626,0.9942,0.0058
NSW,Boambee,480,648,1128,6,1134,0.4255,0.5745,0.9947,0.0053
NSW,Bobs Farm,84,181,265,1,266,0.317,0.683,0.9962,0.0038
NSW,Bodalla,220,269,489,7,496,0.4499,0.5501,0.9859,0.0141
NSW,Bogan Gate,35,159,194,0,194,0.1804,0.8196,1.0,0.0
NSW,Boggabilla,116,347,463,6,469,0.2505,0.7495,0.9872,0.0128
NSW,Boggabri,177,563,740,2,742,0.2392,0.7608,0.9973,0.0027
NSW,Bolton Point,301,439,740,3,743,0.4068,0.5932,0.996,0.004
NSW,Bolwarra,399,583,982,7,989,0.4063,0.5937,0.9929,0.0071
NSW,Bomaderry,1105,1865,2970,20,2990,0.3721,0.6279,0.9933,0.0067
NSW,Bomaderry South,267,397,664,1,665,0.4021,0.5979,0.9985,0.0015
NSW,Bombala,378,700,1078,6,1084,0.3506,0.6494,0.9945,0.0055
NSW,Bona Park,330,422,752,4,756,0.4388,0.5612,0.9947,0.0053
NSW,Bonalbo,110,315,425,5,430,0.2588,0.7412,0.9884,0.0116
NSW,Bondi,2232,1465,3697,36,3733,0.6037,0.3963,0.9904,0.0096
NSW,Bondi Beach,3540,1664,5204,58,5262,0.6802,0.3198,0.989,0.011
NSW,Bondi Junction,2010,1158,3168,24,3192,0.6345,0.3655,0.9925,0.0075
NSW,Bondi North,1099,911,2010,16,2026,0.5468,0.4532,0.9921,0.0079
NSW,Bonnells Bay,1044,1623,2667,14,2681,0.3915,0.6085,0.9948,0.0052
