longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
150.996342,-33.89922293,10224,Bass Hill,1,New South Wales,2.9286,150.99634,-33.89922
151.1861787,-30.0615707,10225,Bassendean (NSW),1,New South Wales,82.1128,151.18618,-30.06157
152.6745697,-31.67026128,10226,Batar Creek,1,New South Wales,25.7777,152.67457,-31.67026
151.4725122,-33.38622313,10227,Bateau Bay,1,New South Wales,6.9381,151.47251,-33.38622
150.1983577,-35.73757002,10228,Batehaven,1,New South Wales,2.5572,150.19836,-35.73757
150.1572844,-35.70611701,10229,Batemans Bay,1,New South Wales,33.2251,150.15728,-35.70612
149.4136356,-33.49370967,10230,Bathampton,1,New South Wales,22.6942,149.41364,-33.49371
149.5775036,-33.41928347,10231,Bathurst,1,New South Wales,5.8865,149.5775,-33.41928
148.1466176,-35.54501912,10232,Batlow,1,New South Wales,167.0004,148.14662,-35.54502
150.9794484,-33.75258038,10233,Baulkham Hills,1,New South Wales,16.0031,150.97945,-33.75258
149.6385247,-34.71906196,10234,Baw Baw (NSW),1,New South Wales,55.0846,149.63852,-34.71906
150.3798425,-35.51197844,10235,Bawley Point,1,New South Wales,20.4862,150.37984,-35.51198
151.9042772,-31.70736493,10236,Baxters Ridge,1,New South Wales,101.0207,151.90428,-31.70736
151.2896261,-33.66195159,10237,Bayview (NSW),1,New South Wales,3.7398,151.28963,-33.66195
151.2587169,-33.7527527,10238,Beacon Hill,1,New South Wales,2.6051,151.25872,-33.75275
151.2004074,-33.91142384,10239,Beaconsfield (NSW),1,New South Wales,0.1728,151.20041,-33.91142
152.5874098,-28.58145235,10240,Bean Creek,1,New South Wales,73.9716,152.58741,-28.58145
148.8958684,-31.66662194,10241,Bearbong,1,New South Wales,294.1304,148.89587,-31.66662
150.5786743,-34.78051292,10242,Beaumont (NSW),1,New South Wales,17.0572,150.57867,-34.78051
150.9396671,-33.69762549,10243,Beaumont Hills,1,New South Wales,3.1896,150.93967,-33.69763
146.9951411,-34.30253997,10244,Beckom,1,New South Wales,351.32,146.99514,-34.30254
150.7180625,-31.00469419,10245,Bective,1,New South Wales,133.0454,150.71806,-31.00469
147.2711092,-34.50336583,10246,Bectric,1,New South Wales,145.6835,147.27111,-34.50337
147.6998977,-33.33344227,10247,Bedgerabong,1,New South Wales,136.6031,147.6999,-33.33344
152.671278,-31.44031136,10248,Beechwood,1,New South Wales,9.9177,152.67128,-31.44031
151.0610433,-33.75293511,10249,Beecroft,1,New South Wales,5.1174,151.06104,-33.75294
150.8070516,-35.04313213,10250,Beecroft Peninsula,1,New South Wales,46.577,150.80705,-35.04313
146.1046097,-34.23129889,10251,Beelbangera,1,New South Wales,21.3612,146.10461,-34.2313
147.854759,-31.67657537,10252,Beemunnel,1,New South Wales,14.2192,147.85476,-31.67658
149.8418113,-36.68865756,10253,Bega,1,New South Wales,31.1668,149.84181,-36.68866
148.2851221,-34.65554525,10254,Beggan Beggan,1,New South Wales,224.6292,148.28512,-34.65555
150.2216799,-34.51226097,10255,Belanglo,1,New South Wales,61.6713,150.22168,-34.51226
152.1691884,-31.98414034,10256,Belbora,1,New South Wales,102.3634,152.16919,-31.98414
151.0858456,-33.90442432,10257,Belfield,1,New South Wales,1.7826,151.08585,-33.90442
151.2880576,-32.66936144,10258,Belford,1,New South Wales,39.7957,151.28806,-32.66936
147.0553087,-35.11651105,10259,Belfrayden,1,New South Wales,4.046,147.05531,-35.11651
149.0245372,-33.11361499,10260,Belgravia,1,New South Wales,95.9592,149.02454,-33.11361
150.5397588,-34.08412129,10261,Belimbla Park,1,New South Wales,3.6613,150.53976,-34.08412
150.2939911,-33.49735103,10262,Bell (NSW),1,New South Wales,40.5065,150.29399,-33.49735
150.9546351,-33.74128799,10263,Bella Vista,1,New South Wales,3.8003,150.95464,-33.74129
150.916986,-34.36835907,10264,Bellambi,1,New South Wales,2.3391,150.91699,-34.36836
152.5818474,-31.32798374,10265,Bellangry,1,New South Wales,83.5189,152.58185,-31.32798
149.7589125,-29.9354758,10266,Bellata,1,New South Wales,1021.6402,149.75891,-29.93548
150.619151,-34.75887138,10267,Bellawongarah,1,New South Wales,17.9167,150.61915,-34.75887
151.3164933,-32.85367757,10268,Bellbird,1,New South Wales,7.6555,151.31649,-32.85368
151.3307128,-32.8484499,10269,Bellbird Heights,1,New South Wales,0.4019,151.33071,-32.84845
152.4846096,-30.75945964,10270,Bellbrook,1,New South Wales,396.1146,152.48461,-30.75946
151.2556238,-33.88085753,10271,Bellevue Hill,1,New South Wales,2.3732,151.25562,-33.88086
152.898829,-31.0058522,10272,Bellimbopinni,1,New South Wales,15.6643,152.89883,-31.00585
152.8944038,-30.44910485,10273,Bellingen,1,New South Wales,54.277,152.8944,-30.4491
149.2605736,-34.91320671,10274,Bellmount Forest,1,New South Wales,115.0625,149.26057,-34.91321
151.1222586,-31.96976887,10275,Belltrees,1,New South Wales,170.0442,151.12226,-31.96977
151.6736479,-33.03014373,10276,Belmont (NSW),1,New South Wales,10.5542,151.67365,-33.03014
151.6722469,-33.01706254,10277,Belmont North,1,New South Wales,3.6314,151.67225,-33.01706
151.6607746,-33.05335745,10278,Belmont South,1,New South Wales,2.5445,151.66077,-33.05336
151.0893509,-33.91901463,10279,Belmore,1,New South Wales,2.7309,151.08935,-33.91901
152.9654986,-31.09129924,10280,Belmore River,1,New South Wales,70.3008,152.9655,-31.0913
148.7107099,-36.54824037,10281,Beloka,1,New South Wales,67.0084,148.71071,-36.54824
149.6833856,-36.1019444,10282,Belowra,1,New South Wales,378.3106,149.68339,-36.10194
151.2113474,-33.72220539,10283,Belrose,1,New South Wales,13.636,151.21135,-33.72221
149.5634728,-36.60523197,10284,Bemboka,1,New South Wales,334.3682,149.56347,-36.60523
150.0361395,-33.23047251,10285,Ben Bullen,1,New South Wales,85.1376,150.03614,-33.23047
151.6496936,-30.00946456,10286,Ben Lomond (NSW),1,New South Wales,277.9658,151.64969,-30.00946
150.2188761,-35.62670611,10287,Benandarah,1,New South Wales,128.8555,150.21888,-35.62671
150.4999358,-35.22974816,10288,Bendalong,1,New South Wales,14.2616,150.49994,-35.22975
151.1764707,-30.80359532,10289,Bendemeer,1,New South Wales,541.4462,151.17647,-30.8036
